0,1,2,3,4,5,6
0,0,4271.41,4306.026,4033.846,4141.538,4267.051
0,0,4279.487,4312.051,4030,4130.128,4271.41
0,0,4287.692,4311.026,4049.487,4129.872,4267.179
0,0,4282.821,4309.359,4061.923,4134.103,4260.513
0,0,4266.923,4314.615,4057.436,4129.231,4256.923
0,0,4268.59,4314.103,4055.513,4127.051,4257.949
0,0,4283.333,4307.564,4049.615,4123.846,4257.564
0,0,4275.769,4302.179,4030.897,4105.128,4246.41
0,0,4251.667,4289.231,4019.872,4086.154,4223.974
0,0,4251.026,4280.256,4034.359,4088.846,4215.385
0,0,4279.359,4299.744,4063.462,4114.615,4243.59
0,0,4291.667,4320.385,4070.769,4135.513,4268.077
0,0,4273.462,4312.564,4045.128,4123.205,4251.026
0,0,4283.974,4308.333,4042.179,4112.564,4249.487
0,0,4331.41,4322.692,4080,4137.692,4288.846
0,0,4332.949,4324.487,4089.615,4146.538,4290.385
0,0,4289.231,4314.872,4056.923,4117.564,4246.538
0,0,4281.282,4312.051,4042.051,4110.128,4232.692
0,0,4302.949,4315.897,4056.026,4131.923,4249.231
0,0,4310.128,4331.282,4069.615,4141.154,4263.077
0,0,4309.744,4340,4068.846,4135,4272.821
0,0,4302.051,4317.949,4055.128,4123.59,4261.41
0,0,4289.487,4304.231,4053.846,4115.513,4241.795
0,0,4291.026,4318.205,4069.359,4121.282,4247.692
0,0,4289.359,4312.308,4062.179,4122.821,4249.359
0,0,4280,4298.846,4043.462,4120.128,4238.718
0,0,4293.846,4325.128,4057.051,4137.692,4259.103
0,0,4312.179,4348.974,4077.692,4151.41,4279.872
0,0,4303.205,4334.487,4076.282,4141.026,4260.513
0,0,4289.103,4320.256,4071.026,4138.718,4245
0,0,4283.205,4314.231,4055.385,4139.744,4247.308
0,0,4281.667,4302.949,4029.103,4124.487,4243.974
0,0,4295.769,4309.615,4033.077,4129.487,4255.769
0,0,4309.872,4333.846,4061.41,4159.615,4277.179
0,0,4300.513,4345.641,4072.179,4169.103,4275.897
0,0,4288.974,4339.615,4074.487,4164.744,4272.179
0,0,4291.41,4330.256,4085.897,4175,4282.051
0,0,4292.436,4333.077,4090.256,4182.179,4288.718
0,0,4289.231,4339.103,4080.769,4172.179,4294.103
0,0,4294.359,4329.487,4071.667,4164.231,4301.026
0,0,4309.615,4331.41,4074.231,4172.949,4307.436
0,0,4321.923,4357.949,4085.641,4187.179,4322.564
0,0,4322.051,4364.615,4090.897,4187.949,4332.949
0,0,4315.641,4350.128,4088.846,4180.513,4325.513
0,0,4304.359,4345.769,4083.718,4178.205,4315.513
0,0,4290.256,4337.564,4068.974,4175.256,4308.974
0,0,4293.462,4332.436,4060.769,4173.974,4313.205
0,0,4311.026,4347.436,4074.231,4181.538,4334.615
0,0,4309.744,4342.564,4078.974,4179.359,4340.385
0,0,4288.974,4319.103,4063.974,4162.436,4317.821
0,0,4275.641,4324.231,4060,4155.769,4305.641
0,0,4279.872,4341.026,4067.308,4165,4317.051
0,0,4302.949,4347.436,4078.59,4181.026,4339.231
0,0,4328.846,4359.359,4100.385,4196.538,4361.154
0,0,4324.872,4352.692,4096.41,4189.231,4353.205
0,0,4299.231,4322.179,4058.974,4161.282,4323.59
0,0,4291.538,4318.333,4055.128,4157.051,4323.974
0,0,4299.231,4334.359,4080.128,4175.769,4339.103
0,0,4296.667,4331.154,4072.692,4172.564,4328.59
0,0,4289.487,4327.564,4062.821,4154.487,4322.051
0,0,4288.59,4332.308,4077.308,4153.333,4329.231
0,0,4287.564,4325,4072.179,4160.256,4319.231
0,0,4289.744,4325.385,4066.154,4165.641,4318.462
0,0,4294.872,4339.103,4087.179,4169.487,4337.436
0,0,4284.487,4330,4076.026,4150.641,4322.436
0,0,4269.615,4314.615,4038.462,4123.974,4293.205
0,0,4280.897,4331.923,4051.923,4138.077,4311.154
0,0,4300.769,4346.538,4087.179,4174.872,4337.051
0,0,4302.692,4331.282,4086.667,4186.923,4330
0,0,4303.462,4328.846,4081.667,4184.744,4331.667
0,0,4301.41,4343.333,4082.949,4180.897,4341.41
0,0,4280.128,4337.051,4069.359,4166.795,4324.744
0,0,4274.103,4330,4069.615,4167.179,4315.385
0,0,4299.744,4345.897,4091.026,4186.282,4334.359
0,0,4309.872,4349.231,4092.821,4186.538,4338.846
0,0,4298.462,4331.923,4077.308,4175.641,4326.026
0,0,4299.615,4326.282,4071.538,4179.872,4327.436
0,0,4300.128,4325,4069.872,4178.462,4327.179
0,0,4289.615,4314.487,4070,4171.154,4313.462
0,0,4296.41,4322.821,4081.41,4183.846,4317.436
0,0,4312.179,4350.513,4092.436,4193.59,4337.051
0,0,4305.385,4354.231,4087.179,4176.923,4331.795
0,0,4289.744,4333.718,4072.051,4162.179,4306.795
0,0,4290.641,4328.974,4069.359,4165.769,4301.41
0,0,4298.205,4338.974,4084.103,4172.179,4310
0,0,4291.795,4337.821,4089.872,4172.564,4301.923
0,0,4284.487,4333.462,4078.718,4170.769,4292.179
0,0,4298.974,4338.59,4078.077,4177.436,4306.282
0,0,4304.744,4334.615,4078.59,4185.256,4312.436
0,0,4274.615,4315.641,4052.949,4171.026,4285.769
0,0,4263.718,4310.513,4041.667,4156.026,4275.897
0,0,4293.846,4324.615,4071.795,4169.359,4301.026
0,0,4292.308,4324.744,4078.718,4171.282,4296.026
0,0,4255.641,4305.641,4045.256,4145,4256.538
0,0,4253.846,4300.385,4040.513,4144.359,4252.051
0,0,4277.308,4312.308,4065.769,4167.692,4276.154
0,0,4285.128,4319.231,4071.282,4169.231,4280.385
0,0,4289.359,4327.179,4067.949,4166.026,4281.923
0,0,4288.974,4339.744,4070.385,4175.385,4293.462
0,0,4276.923,4333.333,4060.385,4169.615,4287.179
0,0,4277.179,4316.282,4050.256,4156.026,4274.103
0,0,4285.128,4316.154,4054.359,4152.821,4275.641
0,0,4279.103,4319.615,4054.231,4146.41,4273.846
0,0,4276.154,4315.256,4050.385,4148.974,4270.385
0,0,4283.205,4322.564,4056.667,4173.718,4279.744
0,0,4281.282,4330.256,4061.41,4179.615,4279.103
0,0,4277.436,4318.974,4061.026,4155.769,4264.487
0,0,4281.538,4314.103,4068.462,4149.359,4262.821
0,0,4277.436,4321.282,4074.487,4162.051,4263.333
0,0,4271.667,4317.179,4067.692,4159.615,4254.231
0,0,4290.128,4316.923,4066.41,4152.051,4263.333
0,0,4307.821,4325.513,4072.564,4153.718,4277.436
0,0,4289.231,4312.051,4060.128,4146.026,4260.641
0,0,4268.205,4295.513,4039.359,4134.615,4244.103
0,0,4278.077,4310,4043.718,4141.154,4253.462
0,0,4290.897,4324.103,4062.179,4152.436,4258.205
0,0,4295,4316.154,4067.051,4151.154,4260.513
0,0,4302.949,4310.256,4060.769,4144.231,4272.564
0,0,4300.385,4312.692,4057.564,4140.769,4270.385
0,0,4293.462,4318.974,4068.333,4150.641,4265.513
0,0,4303.077,4330.641,4086.923,4171.795,4275.513
0,0,4305.769,4337.821,4088.718,4180.897,4268.718
0,0,4297.436,4339.744,4078.59,4177.821,4257.949
0,0,4309.872,4342.949,4084.359,4185.641,4280.513
0,0,4321.923,4339.359,4098.462,4198.59,4296.41
0,0,4308.333,4333.462,4097.821,4196.154,4278.846
0,0,4306.795,4335.897,4084.615,4181.923,4270.641
0,0,4324.487,4337.821,4070,4172.564,4279.103
0,0,4319.231,4335.769,4061.154,4174.615,4278.846
0,0,4303.974,4338.846,4062.949,4179.103,4281.538
0,0,4317.308,4344.615,4074.615,4181.667,4295.128
0,0,4329.487,4345.128,4085,4190.128,4298.077
1,0,4308.462,4342.949,4081.795,4198.462,4290
1,0,4298.077,4347.949,4077.949,4196.923,4297.308
1,0,4319.744,4353.59,4085.385,4193.718,4318.462
1,0,4321.923,4342.179,4078.718,4190.641,4321.795
1,0,4299.615,4328.333,4057.436,4182.949,4307.949
1,0,4292.308,4326.41,4052.051,4172.308,4299.744
1,0,4281.41,4316.667,4045.513,4156.795,4290.385
1,0,4266.41,4313.846,4032.179,4150.897,4285.769
1,0,4291.282,4337.821,4049.872,4171.282,4305.513
1,0,4314.615,4341.923,4070.769,4184.615,4316.795
1,0,4290.256,4320.769,4057.436,4175.128,4302.821
1,0,4279.359,4328.974,4058.974,4180.256,4308.846
1,0,4301.795,4341.923,4081.538,4191.538,4329.359
1,0,4302.308,4322.179,4070.897,4177.949,4323.333
1,0,4291.538,4315.256,4047.949,4168.077,4313.077
1,0,4298.718,4330.385,4050.769,4178.077,4319.487
1,0,4300.385,4330.513,4055.256,4184.487,4322.949
1,0,4289.103,4325.385,4049.872,4188.462,4325
1,0,4283.333,4324.231,4050.385,4189.744,4330.641
1,0,4291.667,4322.179,4060.128,4180.769,4332.308
1,0,4304.103,4332.692,4071.026,4179.615,4333.974
1,0,4291.41,4337.051,4065,4181.538,4328.333
1,0,4271.154,4322.308,4050,4170.385,4316.667
1,0,4291.667,4326.667,4059.231,4172.821,4328.333
1,0,4317.564,4343.974,4078.718,4191.538,4345.897
1,0,4300.128,4333.974,4073.974,4188.974,4328.077
1,0,4277.179,4315.769,4054.103,4169.744,4301.795
1,0,4270.769,4311.795,4035.385,4158.974,4298.846
1,0,4263.077,4309.744,4025.769,4155.385,4300.897
1,0,4268.59,4306.154,4031.923,4152.308,4300
1,0,4278.333,4297.564,4035.769,4143.333,4297.051
1,0,4265.769,4290.769,4031.026,4136.923,4288.205
1,0,4262.308,4304.615,4040.513,4150.641,4290.769
1,0,4280.769,4317.308,4053.077,4165.128,4305.513
1,0,4285.513,4314.231,4047.308,4164.359,4310.769
1,0,4279.103,4317.308,4038.462,4167.564,4307.308
1,0,4275.128,4310.256,4031.154,4164.744,4294.487
1,0,4266.41,4289.487,4023.333,4149.872,4280.641
1,0,4274.872,4303.205,4036.154,4163.59,4300.256
1,0,4298.333,4325.385,4054.103,4185.897,4325.385
1,0,4287.308,4302.692,4041.667,4160.897,4300.769
1,0,4259.872,4288.077,4027.179,4135,4271.923
1,0,4264.231,4310.128,4041.538,4155,4283.205
1,0,4264.487,4304.615,4044.487,4162.179,4281.923
1,0,4243.59,4275.641,4019.615,4136.41,4260.897
1,0,4262.436,4284.615,4021.923,4139.487,4275.769
1,0,4303.718,4313.205,4059.487,4169.615,4305.897
1,0,4292.821,4316.538,4071.795,4171.154,4300.641
1,0,4266.923,4310.256,4053.59,4157.692,4286.41
1,0,4284.615,4315.769,4048.718,4167.436,4298.333
1,0,4297.949,4313.718,4048.974,4173.462,4309.744
1,0,4280,4296.026,4035.513,4152.179,4293.846
1,0,4274.231,4289.744,4034.359,4142.821,4275.769
1,0,4278.846,4302.692,4047.564,4158.077,4277.436
1,0,4273.59,4312.308,4050.641,4162.564,4282.564
1,0,4282.949,4315.256,4051.538,4159.744,4283.718
1,0,4302.436,4317.821,4056.282,4170.513,4288.718
1,0,4296.154,4312.051,4052.308,4176.154,4284.487
1,0,4273.59,4307.436,4050.897,4171.923,4270.513
1,0,4266.538,4313.846,4056.795,4173.974,4271.154
1,0,4275.513,4313.205,4052.436,4171.667,4276.026
1,0,4281.667,4305.513,4045,4161.538,4263.333
1,0,4278.205,4309.487,4052.564,4162.821,4256.795
1,0,4280.769,4318.205,4068.077,4178.205,4275.385
1,0,4294.231,4322.436,4076.41,4194.231,4293.205
1,0,4300.641,4324.359,4067.821,4193.846,4291.41
1,0,4297.692,4315,4047.308,4174.359,4283.077
1,0,4293.846,4298.974,4039.615,4165.256,4278.333
1,0,4286.154,4293.333,4045,4168.333,4269.487
1,0,4275.128,4286.282,4034.872,4150.128,4250
1,0,4263.59,4274.487,4013.974,4130.513,4233.077
1,0,4257.051,4284.103,4014.231,4146.282,4239.103
1,0,4269.359,4298.59,4028.718,4161.667,4258.974
1,0,4277.821,4280.256,4022.564,4144.872,4257.179
1,0,4251.026,4253.846,3998.205,4128.59,4228.333
1,0,4227.179,4251.923,3991.282,4132.949,4208.333
1,0,4242.179,4256.923,4007.949,4142.179,4214.231
1,0,4259.615,4262.564,4019.744,4147.051,4224.872
1,0,4258.846,4274.615,4017.821,4143.718,4225
1,0,4261.923,4272.821,4016.41,4135.256,4220.513
1,0,4265.769,4261.923,4018.333,4137.308,4219.359
1,0,4262.692,4271.026,4021.154,4150.385,4223.846
1,0,4262.821,4284.615,4028.718,4157.436,4225.641
1,0,4259.103,4279.872,4034.103,4153.974,4216.923
1,0,4245.897,4271.923,4029.359,4150.128,4209.615
1,0,4243.718,4268.59,4022.692,4151.026,4213.333
1,0,4255,4267.436,4025.385,4155.769,4217.692
1,0,4259.359,4275,4031.923,4161.538,4218.718
1,0,4256.667,4280.897,4027.821,4161.667,4219.231
1,0,4258.59,4275,4020.641,4156.154,4215.641
1,0,4261.41,4273.974,4028.974,4156.282,4214.359
1,0,4260.769,4284.744,4037.436,4161.667,4222.179
1,0,4261.026,4293.462,4027.821,4161.41,4230.769
1,0,4262.051,4293.59,4026.026,4160.256,4237.821
1,0,4264.872,4288.077,4040.128,4163.59,4249.487
1,0,4271.282,4287.051,4042.051,4166.795,4258.077
1,0,4268.974,4292.308,4033.333,4171.923,4256.667
1,0,4248.846,4288.333,4023.59,4170,4247.179
1,0,4235.256,4280.769,4007.051,4152.692,4241.282
1,0,4250.256,4288.718,4011.154,4153.205,4256.923
1,0,4268.846,4293.974,4039.103,4178.718,4277.949
1,0,4264.872,4280.513,4043.462,4181.154,4270.128
1,0,4254.872,4271.923,4030.513,4161.41,4253.205
1,0,4244.615,4269.744,4025.256,4151.41,4250.897
1,0,4225.641,4258.205,4007.564,4140.513,4242.436
1,0,4227.821,4257.692,4002.692,4138.333,4240.897
1,0,4253.718,4273.59,4031.923,4158.462,4265.385
1,0,4257.051,4281.154,4035,4163.846,4275.641
1,0,4258.333,4290,4023.077,4164.872,4274.359
1,0,4287.821,4304.615,4050.897,4186.154,4294.615
1,0,4280.513,4293.333,4049.744,4168.462,4286.41
1,0,4231.026,4272.436,3998.846,4122.179,4242.051
1,0,4230.128,4281.795,4003.462,4139.359,4247.821
1,0,4267.564,4296.667,4048.59,4181.41,4291.923
1,0,4272.179,4289.872,4042.949,4172.949,4298.59
1,0,4260.128,4281.667,4020,4154.359,4283.974
1,0,4262.436,4285,4023.462,4153.077,4280.385
1,0,4268.846,4297.179,4030.256,4154.872,4280.128
1,0,4267.821,4307.179,4033.462,4164.615,4283.846
1,0,4253.718,4293.205,4025.256,4155.128,4278.462
1,0,4250.769,4273.205,4011.026,4136.026,4268.974
1,0,4273.718,4281.667,4025.256,4164.615,4287.179
1,0,4273.718,4293.077,4039.487,4189.615,4298.333
1,0,4246.41,4283.462,4020.897,4158.462,4271.282
1,0,4250.641,4283.974,4023.333,4148.077,4265.385
1,0,4268.59,4295.385,4047.436,4168.205,4289.872
1,0,4253.59,4283.846,4027.436,4146.667,4280.385
1,0,4241.154,4266.41,3998.205,4125.641,4255.385
1,0,4264.744,4279.744,4025.385,4156.923,4272.308
1,0,4295.513,4307.692,4064.872,4186.667,4308.59
1,0,4298.205,4314.615,4060.769,4182.821,4317.179
1,0,4272.436,4301.538,4035.769,4166.154,4297.179
2,1,4257.564,4290.897,4028.205,4152.436,4280.256
2,1,4270.641,4287.692,4035.385,4156.282,4285.128
2,1,4268.59,4283.846,4033.333,4164.615,4286.667
2,1,4246.282,4283.59,4023.333,4154.872,4270.769
2,1,4247.949,4289.231,4026.154,4146.41,4265.256
2,1,4262.179,4287.692,4031.026,4145.769,4270.513
2,1,4263.59,4283.333,4025.128,4138.846,4266.667
2,1,4275.897,4291.667,4028.846,4143.462,4270.128
2,1,4290.256,4301.538,4041.795,4158.718,4281.923
2,1,4272.564,4295.385,4038.718,4156.538,4273.59
2,1,4249.744,4281.026,4027.179,4146.795,4256.282
2,1,4255,4278.59,4030.513,4147.564,4258.333
2,1,4271.667,4296.282,4045.128,4152.436,4273.462
2,1,4279.872,4310.513,4046.282,4157.179,4280.385
2,1,4277.821,4295.385,4026.154,4151.667,4270.769
2,1,4274.615,4277.179,4019.487,4137.949,4263.59
2,1,4275.641,4280.641,4035.256,4136.923,4270.128
2,1,4265.513,4279.359,4028.718,4137.821,4264.231
2,1,4252.949,4278.333,4017.308,4137.564,4256.026
2,1,4270.128,4298.205,4045.128,4158.59,4283.718
2,1,4287.179,4297.564,4056.667,4170.128,4303.205
2,1,4267.949,4270.769,4029.359,4151.41,4275.897
2,1,4253.077,4274.487,4031.923,4146.538,4261.026
2,1,4261.282,4294.231,4047.821,4148.974,4273.205
2,1,4262.308,4292.821,4034.744,4133.846,4268.846
2,1,4266.282,4292.564,4033.974,4136.41,4262.436
2,1,4279.103,4289.103,4037.051,4144.103,4264.615
2,1,4277.821,4278.846,4023.077,4130.128,4258.59
2,1,4273.974,4298.846,4041.538,4143.846,4265.641
2,1,4274.103,4319.744,4058.59,4170.769,4275
2,1,4263.846,4301.795,4025.128,4153.205,4256.795
2,1,4261.154,4287.821,4015,4136.795,4245.385
2,1,4263.333,4285.513,4029.615,4139.744,4244.359
2,1,4251.923,4272.564,4009.359,4124.103,4228.718
2,1,4260.128,4285.641,4018.718,4134.359,4240.513
2,1,4285.641,4312.564,4062.564,4171.282,4274.487
2,1,4283.333,4302.308,4052.308,4161.026,4271.667
2,1,4284.487,4292.949,4039.359,4150.256,4268.205
2,1,4309.103,4308.846,4072.436,4182.821,4289.359
2,1,4299.615,4303.462,4068.59,4179.487,4278.462
2,1,4274.359,4287.051,4040.769,4150,4255.256
2,1,4286.41,4291.667,4051.282,4162.564,4262.179
2,1,4283.718,4285.513,4042.308,4161.923,4252.436
2,1,4246.026,4260,4001.667,4124.615,4223.333
2,1,4247.692,4258.59,4006.026,4126.41,4228.077
2,1,4285,4285.128,4041.41,4156.41,4247.692
2,1,4291.41,4300.897,4048.333,4155.128,4248.333
2,1,4277.308,4294.103,4033.974,4147.051,4242.308
2,1,4275,4286.795,4025.385,4157.564,4236.923
2,1,4276.538,4291.41,4032.949,4166.667,4237.179
2,1,4282.564,4301.154,4046.538,4173.077,4244.231
2,1,4298.462,4315.256,4049.872,4187.692,4243.462
2,1,4309.103,4329.359,4057.051,4203.462,4249.487
2,1,4307.564,4330,4071.538,4209.744,4271.154
2,1,4302.436,4321.923,4067.179,4204.103,4276.538
2,1,4303.59,4323.333,4061.923,4199.744,4271.026
2,1,4311.667,4329.615,4076.795,4200.897,4280.641
2,1,4306.795,4324.744,4067.308,4186.795,4276.795
2,1,4289.231,4313.333,4031.026,4163.846,4257.179
2,1,4291.923,4314.744,4026.026,4164.487,4269.744
2,1,4310,4330.513,4042.179,4180.256,4296.154
2,1,4312.692,4340.769,4047.308,4190.641,4297.436
2,1,4310.513,4333.462,4062.692,4203.333,4301.282
2,1,4307.564,4313.59,4068.077,4203.718,4306.538
2,1,4283.59,4298.205,4029.615,4177.436,4282.692
2,1,4267.949,4302.179,4006.667,4165.513,4270.256
2,1,4288.974,4310,4031.795,4183.846,4292.436
2,1,4309.231,4306.795,4046.795,4196.923,4300.385
2,1,4312.179,4314.103,4045.641,4203.077,4297.436
2,1,4310.897,4327.308,4055,4210,4310.769
